Data e Hora de Geração: 2024-07-12-17-25-14
Tempos em segundos:
Tamanho/Tipo,Aleatorio,Aleatorio-RangeMenor,Aleatorio-RangeMaior,Aleatorio-CEP,Aleatorio-Iguais,Aleatorio-Extremo,Crescente,Crescente-RangeMenor,Crescente-RangeMaior,Crescente-CEP,Crescente-Iguais,Crescente-Extremo,Decrescente,Decrescente-RangeMenor,Decrescente-RangeMaior,Decrescente-CEP,Decrescente-Iguais,Decrescente-Extremo
10000,0.00540000,0.00160000,0.01270000,0.00730000,0.00220000,0.02040000,0.00510000,0.00270000,0.01120000,0.00700000,0.00440000,0.02040000,0.00490000,0.00280000,0.01200000,0.00590000,0.00710000,0.01690000,
100000,0.05760000,0.02870000,0.12550000,0.07670000,0.02230000,0.21730000,0.05300000,0.02790000,0.11720000,0.05940000,0.03420000,0.10760000,0.02310000,0.01370000,0.05980000,0.03110000,0.03960000,0.09370000,
500000,0.12970000,0.06890000,0.30250000,0.15850000,0.05290000,0.46150000,0.13130000,0.06840000,0.30350000,0.15830000,0.10850000,0.46600000,0.13180000,0.06920000,0.30500000,0.15860000,0.20200000,0.46140000,
1000000,0.22210000,0.13760000,0.60520000,0.31490000,0.10150000,0.92980000,0.22660000,0.13810000,0.61090000,0.31330000,0.21760000,0.93660000,0.22290000,0.13820000,0.60600000,0.31320000,0.39980000,0.93270000,
Tempo Total,124.4340000000
Tempo Médio Total,0.17282500
